Local time,Open,High,Low,Close,Volume
14.08.2017 00:00:00.000,142.013,142.013,142.013,142.013,0
14.08.2017 00:30:00.000,142.013,142.013,142.013,142.013,0
14.08.2017 01:00:00.000,142.013,142.013,142.013,142.013,0
14.08.2017 01:30:00.000,142.013,142.013,142.013,142.013,0
14.08.2017 02:00:00.000,142.013,142.013,142.013,142.013,0
14.08.2017 02:30:00.000,142.013,142.013,142.013,142.013,0
14.08.2017 03:00:00.000,142.013,142.013,142.013,142.013,0
14.08.2017 03:30:00.000,142.013,142.013,142.013,142.013,0
14.08.2017 04:00:00.000,142.013,142.013,142.013,142.013,0
14.08.2017 04:30:00.000,142.013,142.013,142.013,142.013,0
14.08.2017 05:00:00.000,142.013,142.013,142.013,142.013,0
14.08.2017 05:30:00.000,142.013,142.013,142.013,142.013,0
14.08.2017 06:00:00.000,142.013,142.013,141.627,141.903,489.1600000000001
14.08.2017 06:30:00.000,141.897,141.985,141.788,141.889,1309.0600000000002
14.08.2017 07:00:00.000,141.890,142.100,141.890,142.021,2289.2400000000002
14.08.2017 07:30:00.000,142.021,142.096,141.972,141.974,1896.8100000000004
14.08.2017 08:00:00.000,141.975,142.019,141.915,141.931,3047.37
14.08.2017 08:30:00.000,141.930,142.083,141.879,142.083,3907.57
14.08.2017 09:00:00.000,142.088,142.234,142.022,142.200,5327.12
14.08.2017 09:30:00.000,142.200,142.234,142.108,142.203,5397.069999999999
14.08.2017 10:00:00.000,142.202,142.399,142.199,142.384,4062.4500000000003
14.08.2017 10:30:00.000,142.381,142.403,142.276,142.317,4869.849999999998
14.08.2017 11:00:00.000,142.319,142.380,142.287,142.370,5301.08
14.08.2017 11:30:00.000,142.369,142.417,142.338,142.357,4585.1100000000015
14.08.2017 12:00:00.000,142.357,142.433,142.338,142.433,4667.71
14.08.2017 12:30:00.000,142.430,142.562,142.406,142.543,4468.67
14.08.2017 13:00:00.000,142.544,142.678,142.518,142.604,5234.459999999999
14.08.2017 13:30:00.000,142.605,142.652,142.452,142.464,3915.3200000000006
14.08.2017 14:00:00.000,142.465,142.517,142.418,142.444,4659.9
14.08.2017 14:30:00.000,142.445,142.546,142.408,142.541,3996.0200000000004
14.08.2017 15:00:00.000,142.540,142.602,142.449,142.534,5425.69
14.08.2017 15:30:00.000,142.534,142.568,142.475,142.511,4006.9300000000007
14.08.2017 16:00:00.000,142.509,142.590,142.421,142.458,4916.19
14.08.2017 16:30:00.000,142.458,142.737,142.426,142.642,6419.390000000001
14.08.2017 17:00:00.000,142.641,142.646,142.532,142.579,5623.59
14.08.2017 17:30:00.000,142.580,142.598,142.379,142.398,5319.369999999999
14.08.2017 18:00:00.000,142.396,142.441,142.258,142.276,4999.529999999999
14.08.2017 18:30:00.000,142.276,142.385,142.213,142.361,4937.740000000001
14.08.2017 19:00:00.000,142.358,142.413,142.270,142.322,4894.099999999999
14.08.2017 19:30:00.000,142.323,142.338,142.248,142.321,3673.9999999999995
14.08.2017 20:00:00.000,142.323,142.396,142.248,142.306,4864.95
14.08.2017 20:30:00.000,142.305,142.312,142.185,142.185,5682.2699999999995
14.08.2017 21:00:00.000,142.186,142.227,142.116,142.178,5957.160000000001
14.08.2017 21:30:00.000,142.178,142.311,142.105,142.291,7248.59
14.08.2017 22:00:00.000,142.289,142.316,142.149,142.195,6331.290000000002
14.08.2017 22:30:00.000,142.201,142.343,142.114,142.144,7804.4400000000005
14.08.2017 23:00:00.000,142.144,142.150,141.925,142.022,8138.160000000002
14.08.2017 23:30:00.000,142.022,142.197,141.959,142.170,7174.31
15.08.2017 00:00:00.000,142.169,142.215,142.089,142.174,6779.719999999998
15.08.2017 00:30:00.000,142.174,142.219,142.043,142.045,5009.470000000001
15.08.2017 01:00:00.000,142.043,142.169,142.039,142.102,4565.83
15.08.2017 01:30:00.000,142.103,142.125,142.066,142.075,5238.08
15.08.2017 02:00:00.000,142.076,142.130,142.041,142.073,5168.890000000001
15.08.2017 02:30:00.000,142.073,142.261,142.057,142.254,6890.610000000001
15.08.2017 03:00:00.000,142.256,142.281,142.176,142.241,5852.129999999999
15.08.2017 03:30:00.000,142.240,142.264,142.134,142.156,6793.000000000001
15.08.2017 04:00:00.000,142.155,142.285,142.104,142.247,6476.77
15.08.2017 04:30:00.000,142.246,142.256,142.166,142.182,5486.02
15.08.2017 05:00:00.000,142.184,142.233,142.173,142.215,4806.1
15.08.2017 05:30:00.000,142.211,142.268,142.092,142.104,4418.05
15.08.2017 06:00:00.000,142.114,142.146,142.067,142.071,4437.839999999999
15.08.2017 06:30:00.000,142.068,142.102,142.053,142.075,3549.63
15.08.2017 07:00:00.000,142.074,142.227,142.059,142.226,3613.6499999999996
15.08.2017 07:30:00.000,142.224,142.261,142.184,142.235,2719.66
15.08.2017 08:00:00.000,142.233,142.233,142.161,142.206,1762.97
15.08.2017 08:30:00.000,142.206,142.548,142.206,142.529,4053.4500000000003
15.08.2017 09:00:00.000,142.535,142.802,142.522,142.725,5298.580000000001
15.08.2017 09:30:00.000,142.724,142.870,142.702,142.831,4676.859999999999
15.08.2017 10:00:00.000,142.830,142.924,142.769,142.779,6032.159999999999
15.08.2017 10:30:00.000,142.779,142.863,142.770,142.836,6508.56
15.08.2017 11:00:00.000,142.835,142.883,142.769,142.834,4558.900000000001
15.08.2017 11:30:00.000,142.834,142.869,142.814,142.849,4416.610000000001
15.08.2017 12:00:00.000,142.849,142.891,142.824,142.850,5022.73
15.08.2017 12:30:00.000,142.850,142.902,142.804,142.863,5315.110000000001
15.08.2017 13:00:00.000,142.864,142.957,142.858,142.905,5867.6500000000015
15.08.2017 13:30:00.000,142.907,142.960,142.901,142.933,6021.709999999999
15.08.2017 14:00:00.000,142.934,143.016,142.925,142.977,6269.62
